OBJECTID,FEATURECODE,NAME_TXT,ShapeSTArea,ShapeSTLength
1,262,7,693433500.642361,167800.276239822
2,262,3,71312786.4964163,57823.2880403083
3,262,4,76978080.8043305,50828.1003112805
4,262,5,182674883.29174,85142.0998481103
5,262,2,130343523.833821,83718.7301406185
6,262,1,128491209.998594,54744.5788362673
7,262,6,285909892.311461,101583.226909803
